,Rank,Team,Conf,WL,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM
,59,Alabama,SEC,18-15,11.48,108.1,96.6,68.6,0.039,10.94,109.9,99,3.84
,60,Dayton,A10,21-11,11.48,111.5,100.1,64.4,-0.036,1.12,104.1,102.9,1.57
,61,Arizona St. 11,P12,22-10,11.21,109.8,98.6,70.5,0.046,4.81,106.6,101.8,1.8
,62,Memphis,Amer,21-13,10.88,109,98.1,74.1,-0.031,3.5,105.2,101.7,0.14
,63,Liberty 12,ASun,28-6,10.82,110.6,99.7,61.8,0.006,-4.61,101.3,105.9,-2.83
,64,Xavier,BE,18-15,10.43,110.8,100.4,64.8,0.008,8.15,108.8,100.6,1.28
,65,Colorado,P12,21-12,10.42,106.5,96.1,67.6,-0.037,2.02,105.6,103.6,-4.62
,66,San Francisco,WCC,21-10,9.96,111.7,101.7,66.4,-0.022,-0.23,104,104.2,-6.5
,67,Providence,BE,18-15,9.95,105,95,67.7,-0.014,7.03,108.8,101.8,-2.46
,68,Butler,BE,16-16,9.92,110.8,100.9,65.9,-0.032,8.51,108.6,100.1,3.88
,69,East Tennessee St.,SC,24-9,9.83,109.1,99.3,66.9,0.022,-0.44,105.6,106,-1.93
,70,Missouri,SEC,15-17,9.76,106.7,97,64.6,-0.017,9.8,109.6,99.8,0.4
,71,Miami FL,ACC,14-18,9.69,109.9,100.2,66.9,-0.072,8.97,108.3,99.3,-3.06
,72,Fresno St.,MWC,23-9,9.68,108.2,98.5,67.7,-0.011,-1.48,103.6,105.1,-4.81
,73,South Carolina,SEC,16-16,9.67,107.9,98.3,70.1,0.022,10.93,109.4,98.5,2.67
,74,Northwestern,B10,13-19,9.55,102.9,93.4,65.8,-0.111,9.71,108.4,98.7,-5.64
,75,UC Irvine 13,BW,30-5,9.46,106.6,97.1,65.1,0.097,-3.94,102.2,106.2,1.82
,76,Temple 11,Amer,23-9,9.39,108.9,99.5,68.8,0.065,3.81,105.6,101.8,-0.63
,77,Rutgers,B10,14-17,9.31,105.5,96.2,67.5,-0.02,11.12,109.4,98.3,-4.49
,78,St. John's 11,BE,21-12,8.75,109.7,100.9,70.5,0.071,5.92,107,101.1,-6.09
,79,Northeastern 13,CAA,23-10,8.75,111.5,102.7,66,0.023,-0.8,106,106.8,6.95
,80,Vermont 13,AE,27-6,8.72,107.9,99.2,65.3,0.056,-6.01,100.2,106.2,3.52
,81,UNC Greensboro,SC,28-6,8.59,106.5,97.9,67.4,0.175,0.17,105.6,105.4,-2.92
,82,Yale 14,Ivy,22-7,8.59,111.7,103.1,70.7,0.057,-1.52,102.3,103.8,-1.89
,83,Illinois,B10,12-21,8.51,109.1,100.6,70.4,-0.052,13.01,109.8,96.7,4
,84,Davidson,A10,24-9,8.28,107.5,99.3,64.5,0.065,0.75,104.4,103.6,2.31
,85,Oregon St.,P12,18-13,7.89,111.2,103.3,65.5,-0.04,3.21,105.2,102,-3.1
,86,San Diego,WCC,21-14,7.89,106,98.1,66.8,-0.004,3.04,105.8,102.7,0.12
,87,BYU,WCC,19-13,7.78,111.7,103.9,70.7,0.027,3.3,106,102.7,0.25
,88,USC,P12,16-17,7.65,109.2,101.6,69.4,-0.096,3.44,105.2,101.7,-2.17
,89,Oklahoma St.,B12,12-20,7.6,108.9,101.3,65.9,-0.01,12.84,110,97.2,5.74
,90,Notre Dame,ACC,14-19,7.58,108.2,100.6,65.1,-0.055,8.62,108,99.4,-5.33
,91,Georgetown,BE,19-13,7.52,109.2,101.7,71.9,0.054,6.1,108,101.9,-4.57
,92,Texas A&M,SEC,14-18,7.49,106.9,99.4,67.3,-0.021,9.66,109,99.3,-0.33
,93,Wichita St.,Amer,19-14,7.49,105.9,98.4,67.8,0.029,4.56,105.9,101.3,3.53
,94,Hofstra,CAA,27-7,7.47,116.3,108.8,67.2,0.029,-5.78,102.1,107.9,-6.16
,95,West Virginia,B12,14-20,7.26,109,101.8,70.2,0.016,12.15,109.3,97.2,0.57
,96,Utah Valley,WAC,24-9,7.17,109,101.8,68.4,0.04,-1.48,104,105.5,0.13
,97,Pittsburgh,ACC,14-19,7.09,105.1,98,66.9,-0.094,7.83,107.9,100,-8.78
,98,South Dakota St.,Sum,24-8,7.08,112.1,105,70.9,-0.023,-6.34,102,108.3,-4.37
,99,Arizona,P12,17-15,6.86,105,98.1,66.6,-0.013,5.42,107.5,102,3.46
,100,Northern Kentucky 14,Horz,26-8,6.56,109.2,102.7,67.9,-0.008,-4.29,103,107.2,-2.61
,101,Southern Miss,CUSA,20-12,6.42,106.5,100.1,64.7,-0.014,0.32,103.4,103.1,2.35
,102,Georgia Southern,SB,21-12,6.4,108.4,102,73,-0.009,1.16,105.2,104.1,4.85
,103,DePaul,BE,15-15,6.36,110.7,104.4,69.4,-0.039,5.5,106.8,101.3,-10.84
,104,Saint Louis 13,A10,23-12,6.27,102.6,96.3,66.1,0.045,0.36,103.9,103.6,-1.05
,105,Grand Canyon,WAC,20-13,6.22,108.1,101.8,67.6,-0.033,-0.67,103.9,104.5,0.23
,106,Bowling Green,MAC,22-12,6.18,108.2,102,70.3,0.035,1.52,105.2,103.7,-4.69
,107,Akron,MAC,17-16,6.09,99.8,93.7,66,-0.105,1.65,105.4,103.7,-5.28
,108,Connecticut,Amer,16-17,6.02,108.3,102.3,68.5,-0.07,3.31,105.1,101.8,-5.3
,109,Georgia Tech,ACC,14-18,5.91,101.8,95.9,66.6,-0.023,9,107.9,98.9,-4.67
,110,UCLA,P12,17-16,5.88,108.4,102.5,72.4,0.007,5.43,107.5,102,3.74
,111,Georgia St. 14,SB,24-9,5.6,107.9,102.3,69.9,0.126,0.94,104.8,103.9,4.05
,112,Old Dominion 14,CUSA,26-8,5.58,101.9,96.4,64.3,0.055,-2.37,101.9,104.2,-5.71
