,Rank,Team,Conf,WL,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM
,254,Arkansas St.,SB,13-19,-7.69,102.3,109.9,68.1,0.086,-0.27,104.6,104.9,1
,255,Morehead St.,OVC,13-20,-7.71,102.2,109.9,67,0.06,-0.3,104.5,104.8,5.12
,256,Fordham,A10,12-20,-7.84,96.5,104.3,65,-0.075,-4.33,101,105.3,-11.59
,257,Chattanooga,SC,12-20,-7.85,101.5,109.3,66,0.025,1.08,105.4,104.3,-1.76
,258,UMass Lowell,AE,15-17,-7.85,104.3,112.2,69.7,-0.026,-6.27,99.9,106.2,-4.1
,259,Cal St. Northridge,BW,13-20,-7.97,104.4,112.4,70.4,-0.013,-4.78,101.3,106.1,-3.9
,260,Delaware,CAA,17-16,-8.07,104.7,112.8,63.1,0.08,-4.36,103.5,107.9,-5.97
,261,St. Francis PA,NEC,18-14,-8.11,105.1,113.3,68,0.088,-7.77,100.6,108.4,6.88
,262,LIU Brooklyn,NEC,16-16,-8.18,98.1,106.3,70.7,-0.013,-8.65,99.5,108.2,-5.64
,263,Youngstown St.,Horz,12-20,-8.3,103.9,112.2,66.9,-0.004,-1.83,103.6,105.4,0.8
,264,Norfolk St.,MEAC,21-13,-8.4,97.5,105.9,69.1,0.05,-11.01,97,108.1,1.61
,265,Siena,MAAC,17-16,-8.41,100.5,108.9,60.5,0.06,-7.18,100.3,107.5,-1.71
,266,Loyola MD,Pat,11-21,-8.72,101.4,110.2,68.4,-0.028,-3.39,103.5,106.9,-1.38
,267,Robert Morris,NEC,17-16,-8.76,94.8,103.5,65.9,0.035,-7.86,101,108.8,-1.11
,268,North Dakota,Sum,12-18,-8.78,97.3,106.1,69.5,-0.046,-2.99,104.8,107.8,2.18
,269,East Carolina,Amer,10-21,-9.02,97.9,106.9,67.9,-0.006,0.27,103.2,102.9,-11.83
,270,UNC Wilmington,CAA,10-23,-9.04,105.3,114.3,69.1,-0.034,-1.64,105.4,107,2.18
,271,Western Carolina,SC,7-25,-9.22,101.6,110.9,69.4,-0.051,2.8,106.7,103.9,5.07
,272,Grambling St.,SWAC,17-16,-9.42,94.6,104.1,69.6,-0.029,-10.2,97.7,107.9,4.15
,273,St. Francis NY,NEC,17-15,-9.49,95.7,105.2,68.3,0.052,-8.17,100.5,108.7,-3.49
,274,Marist,MAAC,12-19,-9.51,100,109.5,64.3,-0.054,-7.13,100,107.2,-2.59
,275,Sacramento St.,BSky,15-16,-9.55,96.2,105.7,68,-0.011,-7.52,101.5,109.1,-2.11
,276,Houston Baptist,Slnd,12-18,-9.62,102.8,112.5,73.7,-0.038,-5.26,101.1,106.4,7.03
,277,Albany,AE,12-20,-9.85,98.2,108,65.7,-0.066,-6.73,100.1,106.8,-5.12
,278,James Madison,CAA,14-19,-9.87,100.9,110.8,65.1,0.056,-3.66,104.7,108.4,-3.6
,279,Canisius,MAAC,15-17,-9.87,101.5,111.3,67.5,0.115,-5.22,100.6,105.9,3.98
,280,Navy,Pat,12-19,-9.9,97.1,107,66.8,0.061,-2.69,103.2,105.9,-0.83
,281,Southern Utah,BSky,16-16,-9.91,96.5,106.4,70.9,0.048,-6.84,102.2,109.1,1.4
,282,Texas A&M Corpus Chris,Slnd,14-18,-9.94,94.5,104.4,64.7,-0.011,-5.56,101.2,106.7,4.09
,283,VMI,SC,11-21,-10.04,102.2,112.3,71.4,0.018,1.61,105.9,104.3,-0.86
,284,Cleveland St.,Horz,10-21,-10.05,101.5,111.6,68.9,-0.041,-1.98,104.7,106.7,0.86
,285,North Alabama,ASun,10-22,-10.17,95,105.1,68.3,0.006,1.32,104.5,103.1,7.59
,286,Longwood,BSth,15-17,-10.19,96.3,106.5,66.9,-0.002,-6.35,102,108.4,-9.6
,287,Portland St.,BSky,16-16,-10.38,101.5,111.9,68.9,0.046,-7.34,101.2,108.5,-1.55
,288,Towson,CAA,10-22,-10.48,100.1,110.5,63.4,-0.049,-4.16,103.8,107.9,-4.03
,289,Tennessee Martin,OVC,12-19,-10.62,104.5,115.2,68.3,0.009,-3.24,102.9,106.2,-0.49
,290,George Washington,A10,9-24,-10.68,95.2,105.9,67.1,-0.009,-0.18,102.9,103,-1.95
,291,Oral Roberts,Sum,11-21,-10.72,103.3,114,66.7,0.013,-1.21,105.3,106.5,4
,292,Tulane,Amer,4-27,-10.78,96.5,107.3,69.6,-0.042,3.24,105.6,102.3,-3.76
,293,Monmouth,MAAC,14-21,-10.87,93,103.9,67.3,0.047,-4.75,102.4,107.1,3.64
,294,Western Illinois,Sum,10-21,-10.97,97.3,108.3,67.2,-0.106,-4.51,104.3,108.8,-5.33
,295,Tennessee St.,OVC,9-21,-11.08,98.4,109.5,69.3,-0.062,-2.05,102.8,104.9,4.48
,296,Central Arkansas,Slnd,14-19,-11.17,99.8,110.9,70.4,0.019,-4.3,101,105.3,8.37
,297,Charlotte,CUSA,8-21,-11.17,95.4,106.6,64.4,-0.005,-1.54,102.1,103.6,-0.11
,298,UTEP,CUSA,8-21,-11.22,89.8,101.1,67.8,-0.086,-2.22,102.1,104.3,-1.57
,299,Lafayette,Pat,10-20,-11.27,101.4,112.7,68.7,0.004,-4.37,102.2,106.6,-3.51
,300,Milwaukee,Horz,9-22,-11.34,98.2,109.5,65.9,0.016,-2.7,103.5,106.2,-1.68
,301,Fairfield,MAAC,9-22,-11.49,95.7,107.2,67.7,-0.094,-7.86,99.3,107.1,-2.86
,302,North Carolina A&T,MEAC,19-13,-11.58,96.3,107.9,65.5,0.099,-10.74,97.7,108.4,3.61
,303,North Carolina Central 16,MEAC,18-15,-11.89,96.6,108.5,65.2,0.004,-12.17,96.4,108.6,1.47
,304,Northern Arizona,BSky,10-21,-11.92,100.4,112.3,68.4,-0.036,-6.2,102.1,108.3,0.32
,305,Elon,CAA,11-21,-12.11,98.9,111,67.8,-0.002,-3.78,104.3,108.1,-3.36
,306,Bethune Cookman,MEAC,14-17,-12.12,93.3,105.4,72.1,-0.03,-10.92,98.4,109.3,-1.47
,307,Eastern Illinois,OVC,14-18,-12.24,99.5,111.8,66.8,0.094,-4.91,102.5,107.5,-3.91
,308,Howard,MEAC,17-16,-12.39,101.8,114.2,71.1,0.025,-9.92,97.2,107.1,-0.17
,309,Southeast Missouri St.,OVC,10-21,-12.47,97.4,109.8,67.5,-0.033,-3.6,103,106.6,-2.65
,310,Nicholls St.,Slnd,14-17,-12.65,98.6,111.3,68.3,-0.005,-6.98,101,108,3.57
,311,Stephen F. Austin,Slnd,14-16,-12.75,95.3,108.1,68.7,0.036,-6.2,101.6,107.8,3.96
,312,Denver,Sum,8-22,-13.12,99.7,112.8,67,-0.062,-3.2,103.4,106.6,-0.78
,313,Wagner,NEC,13-17,-13.44,93.8,107.2,63.6,0.043,-6.88,101.3,108.2,-0.08
,314,Niagara,MAAC,13-19,-13.55,101.6,115.1,69.5,0.031,-8.8,98.2,107,-7.67
,315,Saint Peter's,MAAC,10-22,-13.63,94.4,108,63.1,-0.013,-7.24,100.6,107.9,-2.31
,316,Arkansas Pine Bluff,SWAC,13-19,-13.64,96.1,109.7,65.1,0.023,-7.09,98.8,105.9,6.16
,317,Wyoming,MWC,8-24,-13.65,95,108.6,68.3,0.003,-1,103.9,104.9,-3.92
,318,Florida A&M,MEAC,12-19,-14.27,88.9,103.2,64.8,-0.007,-7.23,99.7,106.9,4.94
,319,Jackson St.,SWAC,13-19,-14.84,89.8,104.6,65,0.007,-8.79,98.7,107.5,5.41
,320,Central Connecticut,NEC,11-20,-14.87,97,111.8,69,0.006,-5.98,101.2,107.2,3.06
,321,UC Riverside,BW,10-23,-14.95,98.1,113,63.1,-0.023,-3.14,102.1,105.3,-1.87
,322,Tennessee Tech,OVC,8-23,-15.19,89.4,104.6,68.1,-0.042,-3.19,104.1,107.3,1.29
,323,Manhattan,MAAC,11-21,-15.22,89.4,104.6,61.7,0.021,-7.85,100,107.8,-4.23
,324,Mount St. Mary's,NEC,9-22,-15.23,94.6,109.8,67,-0.012,-5.25,102.1,107.4,5.27
,325,Bryant,NEC,10-20,-15.6,99.3,114.9,67.5,0.026,-7.45,100.1,107.5,-2.41
,326,Portland,WCC,7-25,-15.63,94.2,109.9,66.7,-0.011,0.15,103.5,103.3,-7.49
,327,Stetson,ASun,7-24,-15.82,97.6,113.4,68.7,-0.054,-2.99,101.3,104.3,-2.98
,328,Idaho St.,BSky,11-19,-16.29,101.8,118.1,66.7,0.067,-5.12,102.4,107.5,7.77
,329,Alabama St.,SWAC,12-19,-16.36,94.6,111,67.1,0.024,-6.96,99.4,106.4,12.56
,330,SIU Edwardsville,OVC,10-21,-16.48,96.5,113,69.5,0.033,-5.01,102.4,107.4,-5.25
,331,McNeese St.,Slnd,9-22,-16.56,98,114.5,66.2,-0.047,-5.84,101.1,106.9,5.13
,332,Binghamton,AE,10-23,-16.75,95.9,112.6,65.7,0.003,-4.59,100.6,105.1,-2.88
,333,Cal Poly,BW,6-23,-17.79,96.8,114.6,66,-0.068,-3.75,101.6,105.4,-2.38
,334,Morgan St.,MEAC,9-21,-18.04,92.5,110.5,71.9,-0.074,-12.88,97,109.9,-0.3
,335,Southern,SWAC,7-25,-18.41,93.7,112.1,65.5,-0.082,-7.17,99.3,106.5,7.63
,336,USC Upstate,BSth,6-26,-18.54,92.8,111.3,67.9,-0.049,-3.13,103.3,106.4,-1.02
,337,Maine,AE,5-27,-18.65,93.1,111.7,63.9,-0.058,-2.72,101.8,104.6,1.69
,338,South Carolina St.,MEAC,8-26,-18.82,97.9,116.7,66.8,-0.037,-7.81,98.9,106.7,6.64
,339,Kennesaw St.,ASun,6-26,-19.15,91.6,110.8,68.1,0.04,0.95,103.9,103,4.14
,340,Northwestern St.,Slnd,11-20,-19.73,89.9,109.6,68.4,0.069,-6.35,100.7,107.1,3.74
,341,Savannah St.,MEAC,11-20,-19.77,96.2,116,74.7,0.061,-10.11,97.3,107.5,4.71
,342,Coppin St.,MEAC,8-25,-20.56,88.5,109.1,70.1,0.01,-7.71,99.4,107.1,8.15
,343,San Jose St.,MWC,4-27,-21.85,91.7,113.6,69.1,-0.021,-0.97,103.6,104.5,-4.79
,344,Alabama A&M,SWAC,5-27,-22.66,86.5,109.1,65.5,-0.044,-8.2,98.9,107.1,0.41
,345,Incarnate Word,Slnd,6-25,-22.87,97.4,120.2,64.8,-0.066,-4.91,101.2,106.1,4.56
,346,New Hampshire,AE,5-24,-23.05,84.2,107.2,65.5,-0.015,-6.03,101.4,107.4,-4.55
,347,Idaho,BSky,5-27,-23.9,94.8,118.7,65.2,-0.036,-6.82,102.1,108.9,-3.31
,348,UNC Asheville,BSth,4-27,-24.11,92.8,116.9,61.8,-0.032,-0.98,104.9,105.9,4.64
,349,Alcorn St.,SWAC,10-21,-24.64,88.8,113.4,65.6,0.031,-8.03,98.6,106.6,8.35
,350,Mississippi Valley St.,SWAC,6-26,-25.09,89.4,114.5,69.1,-0.018,-6.41,99.5,105.9,6.95
,351,Chicago St.,WAC,3-29,-27.9,90.3,118.2,70,-0.012,3.43,105.5,102,5.93
,352,Delaware St.,MEAC,6-25,-29.66,84.2,113.9,69.5,0.008,-9.81,97.8,107.6,0.88
,353,Maryland Eastern Shore,MEAC,7-25,-29.7,85.1,114.8,62.9,0.024,-7.69,99.4,107.1,5.83
